_dataobs_,Race,Signs_Of_Mental_Illness,Body_Camera,Month,Region,REP_Armed_Category,REP_Mental_Illness,IMP_Age,_WARN_,F_Race,I_Race,_NODE_,P_Race0,P_Race1,Q_Race0,Q_Race1,V_Race0,V_Race1,R_Race0,R_Race1,U_Race
59,0,0,0,2,Southwest,Gun,No,27,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
60,0,0,0,2,Southeast,Gun,No,46,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
61,0,0,0,2,Southwest,Gun,No,41,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
62,1,0,0,2,Southwest,Gun,No,45,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
63,1,0,0,2,Southeast,Gun,No,49,,1,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,-0.769980507,0.769980507,0
64,0,0,0,2,West,Undetermined,No,23,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
65,0,0,0,2,Midwest,Gun,No,21,,0,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,0.692307692,-0.692307692,1
66,0,0,0,2,Northeast,Unarmed,No,35,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
67,0,0,0,2,Southeast,Gun,No,27,,0,0,70,0.621761658,0.378238342,0.621761658,0.378238342,0.612903226,0.387096774,0.378238342,-0.378238342,0
68,0,0,0,2,Southeast,Gun,No,34,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
69,0,0,0,2,Southwest,Gun,No,51,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
70,0,0,0,2,Southwest,Gun,No,56,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
71,0,0,0,2,West,Gun,No,26,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
72,0,0,0,2,Midwest,Unarmed,No,31,,0,0,70,0.621761658,0.378238342,0.621761658,0.378238342,0.612903226,0.387096774,0.378238342,-0.378238342,0
73,0,0,0,2,Midwest,Gun,No,32,,0,0,70,0.621761658,0.378238342,0.621761658,0.378238342,0.612903226,0.387096774,0.378238342,-0.378238342,0
74,0,0,0,2,Northeast,Toy Weapon,No,30,,0,0,70,0.621761658,0.378238342,0.621761658,0.378238342,0.612903226,0.387096774,0.378238342,-0.378238342,0
75,0,0,0,2,Southwest,Undetermined,No,50,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
76,0,0,0,2,Southwest,Unarmed,No,31,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
77,1,0,0,2,Southeast,Gun,No,38,,1,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,-0.568093385,0.568093385,0
78,0,0,0,2,Southwest,Gun,No,41,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
79,0,0,0,2,Midwest,Sharp Weapon,No,51,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
80,0,0,0,2,Southeast,Gun,No,50,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
81,0,0,0,2,Southeast,Sharp Weapon,No,37,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
82,0,0,0,2,Southeast,Gun,No,41,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
83,1,0,0,2,Southeast,Gun,No,16,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
84,1,0,0,2,Southwest,Undetermined,No,27,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
85,0,0,0,2,Midwest,Unarmed,No,31,,0,0,70,0.621761658,0.378238342,0.621761658,0.378238342,0.612903226,0.387096774,0.378238342,-0.378238342,0
86,0,0,0,2,Southeast,Gun,No,42,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
87,0,0,0,2,West,Sharp Weapon,No,21,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
88,0,0,0,2,Southeast,Unarmed,No,49,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
89,0,0,0,2,Southeast,Gun,No,34,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
90,0,0,0,2,West,Unarmed,No,27,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
91,0,0,0,2,Southeast,Gun,No,24,,0,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,0.692307692,-0.692307692,1
92,0,0,1,2,Midwest,Unarmed,No,17,,0,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,0.692307692,-0.692307692,1
93,1,0,0,2,Midwest,Unarmed,No,34,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
94,0,0,0,2,Southwest,Sharp Weapon,No,28,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
95,1,0,0,2,Midwest,Gun,No,28,,1,0,70,0.621761658,0.378238342,0.621761658,0.378238342,0.612903226,0.387096774,-0.621761658,0.621761658,0
96,0,0,0,2,Southwest,Gun,No,37,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
97,1,0,0,3,Southwest,Gun,No,35,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
98,1,0,0,3,Midwest,Gun,No,20,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
99,1,0,0,3,Southeast,Gun,No,25,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
100,0,0,0,3,Southwest,Sharp Weapon,No,25,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
101,0,0,0,3,Southeast,Unarmed,No,26,,0,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,0.540880503,-0.540880503,1
102,0,0,0,3,West,Unarmed,No,36,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
103,0,0,0,3,Midwest,Gun,No,34,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
104,1,0,0,3,Midwest,Unarmed,No,19,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
105,1,0,1,3,Midwest,Gun,No,64,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
106,0,0,0,3,West,Gun,No,41,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
107,0,0,0,3,Southeast,Sharp Weapon,No,53,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
108,0,0,0,3,Midwest,Gun,No,26,,0,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,0.540880503,-0.540880503,1
109,0,0,0,3,Southeast,Sharp Weapon,No,27,,0,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,0.540880503,-0.540880503,1
110,0,0,0,3,Southeast,Gun,No,24,,0,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,0.692307692,-0.692307692,1
111,0,0,0,3,Southwest,Gun,No,49,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
112,0,0,0,3,Southeast,Gun,No,64,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
113,1,0,0,3,Midwest,Unarmed,No,18,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
114,0,0,1,3,West,Gun,No,31,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
115,1,0,0,3,Northeast,Undetermined,No,21,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
116,0,0,0,3,Southwest,Gun,No,21,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
117,1,0,0,3,West,Gun,No,24,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
118,1,0,1,3,Southeast,Undetermined,No,23,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
119,1,0,0,3,Southeast,Gun,No,27,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
120,0,0,0,3,West,Gun,No,28,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
121,1,0,0,3,West,Sharp Weapon,No,26,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
122,0,0,0,3,Midwest,Gun,No,53,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
123,1,0,0,3,Southeast,Undetermined,No,37,,1,0,48,0.752066116,0.247933884,0.752066116,0.247933884,0.692307692,0.307692308,-0.752066116,0.752066116,0
124,1,0,0,3,West,Gun,No,28,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
125,0,0,0,3,Southeast,Gun,No,42,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
126,1,0,0,3,Southeast,Gun,No,29,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
127,1,0,0,3,Northeast,Gun,No,41,,1,0,48,0.752066116,0.247933884,0.752066116,0.247933884,0.692307692,0.307692308,-0.752066116,0.752066116,0
128,1,0,0,3,Southeast,Sharp Weapon,No,39,,1,0,48,0.752066116,0.247933884,0.752066116,0.247933884,0.692307692,0.307692308,-0.752066116,0.752066116,0
129,0,0,0,3,West,Toy Weapon,No,23,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
130,0,0,0,3,Southeast,Gun,No,36,,0,0,48,0.752066116,0.247933884,0.752066116,0.247933884,0.692307692,0.307692308,0.247933884,-0.247933884,0
131,0,0,0,3,Southwest,Toy Weapon,No,21,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
132,1,0,0,3,Southeast,Vehicle,No,27,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
133,0,0,0,3,Midwest,Undetermined,No,26,,0,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,0.540880503,-0.540880503,1
134,1,0,0,3,Southeast,Gun,No,16,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
135,0,0,0,2,Northeast,Sharp Weapon,No,42,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
136,1,0,0,4,West,Gun,No,37,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
137,0,0,0,3,Southeast,Gun,No,49,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
138,1,0,0,3,West,Unarmed,No,37,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
139,1,0,0,3,Southeast,Undetermined,No,48,,1,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,-0.769980507,0.769980507,0
140,0,0,0,3,Southwest,Gun,No,29,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
141,0,0,0,3,Southwest,Gun,No,40,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
142,0,0,0,3,Southeast,Undetermined,No,35,,0,0,48,0.752066116,0.247933884,0.752066116,0.247933884,0.692307692,0.307692308,0.247933884,-0.247933884,0
143,0,0,0,3,Southeast,Gun,No,58,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
144,0,0,0,3,West,Gun,No,46,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
145,1,0,0,3,Southeast,Gun,No,30,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
146,1,0,0,3,Southeast,Gun,No,31,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
147,0,0,0,3,West,Gun,No,39,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
148,0,0,0,3,Midwest,Gun,No,59,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
149,1,0,0,4,Midwest,Gun,No,32,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
150,0,0,0,3,West,Sharp Weapon,No,36,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
151,1,0,0,4,Southwest,Unarmed,No,44,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
152,0,0,0,3,West,Unarmed,No,22,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
153,0,0,0,3,West,Sharp Weapon,No,47,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
154,1,0,0,4,Midwest,Gun,No,17,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
155,1,0,0,4,Southeast,Unarmed,No,50,,1,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,-0.769980507,0.769980507,0
156,0,0,1,4,Southeast,Sharp Weapon,No,38,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
157,1,0,1,4,West,Gun,No,31,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
158,0,0,0,4,West,Gun,No,56,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
159,0,0,0,3,West,Gun,No,36,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
160,0,0,0,3,Southeast,Gun,No,54,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
161,0,0,0,3,Northeast,Gun,No,44,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
162,0,0,0,3,Southwest,Gun,No,34,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
163,0,0,0,3,Midwest,Gun,No,42,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
164,0,0,0,3,Midwest,Gun,No,38,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
165,0,0,0,3,Northeast,Gun,No,40,,0,0,48,0.752066116,0.247933884,0.752066116,0.247933884,0.692307692,0.307692308,0.247933884,-0.247933884,0
166,1,0,0,4,Southeast,Gun,No,25,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
167,0,0,0,4,Southwest,Gun,No,32,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
168,0,0,0,4,West,Gun,No,31,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
